crop_id,soil_type,seedling_stage,moi,temp,humidity,result
wheat,black soil,germination,1,25,80.0,1
wheat,black soil,germination,2,26,77.0,1
wheat,black soil,germination,3,27,74.0,1
wheat,black soil,germination,4,28,71.0,1
wheat,black soil,germination,5,29,68.0,1
wheat,black soil,germination,6,30,65.0,1
wheat,black soil,germination,7,31,62.0,1
wheat,black soil,germination,8,32,59.0,1
wheat,black soil,germination,9,33,56.0,1
wheat,black soil,germination,10,34,53.0,1
wheat,black soil,germination,11,35,50.0,1
wheat,black soil,germination,12,36,47.0,1
wheat,black soil,germination,13,37,44.0,1
wheat,black soil,germination,14,38,41.0,1
wheat,black soil,germination,15,39,38.0,1
wheat,black soil,germination,16,40,35.0,1
wheat,black soil,germination,17,41,32.0,1
wheat,black soil,germination,18,42,29.0,1
wheat,black soil,germination,19,43,26.0,1
wheat,black soil,germination,20,44,23.0,1
wheat,black soil,germination,21,45,20.0,1
wheat,black soil,germination,22,46,17.0,1
wheat,black soil,germination,23,25,80.0,1
wheat,black soil,germination,24,26,77.5,1
wheat,black soil,germination,25,27,75.0,1
wheat,black soil,germination,26,28,72.5,1
wheat,black soil,germination,27,29,70.0,1
wheat,black soil,germination,28,30,67.5,1
wheat,black soil,germination,29,31,65.0,1
wheat,black soil,germination,30,32,62.5,1
wheat,black soil,germination,31,33,60.0,2
wheat,black soil,germination,32,34,57.5,2
wheat,black soil,germination,33,35,55.0,2
wheat,black soil,germination,34,36,52.5,2
wheat,black soil,germination,35,37,50.0,2
wheat,black soil,germination,36,38,47.5,2
wheat,black soil,germination,37,39,45.0,2
wheat,black soil,germination,38,40,42.5,2
wheat,black soil,germination,39,41,40.0,2
wheat,black soil,germination,40,42,37.5,2
wheat,black soil,germination,41,43,35.0,0
wheat,black soil,germination,42,44,32.5,0
wheat,black soil,germination,43,45,30.0,0
wheat,black soil,germination,44,46,27.5,0
wheat,black soil,germination,45,25,80.0,0
wheat,black soil,germination,46,26,77.3,0
wheat,black soil,germination,47,27,74.6,0
wheat,black soil,germination,48,28,71.9,0
wheat,black soil,germination,49,29,69.2,0
wheat,black soil,germination,50,30,66.5,0
wheat,black soil,germination,51,31,63.8,0
wheat,black soil,germination,52,32,61.1,0
wheat,black soil,germination,53,33,58.4,0
wheat,black soil,germination,54,34,55.7,0
wheat,black soil,germination,55,35,53.0,0
wheat,black soil,germination,56,36,50.3,0
wheat,black soil,germination,57,37,47.6,0
wheat,black soil,germination,58,38,44.9,0
wheat,black soil,germination,59,39,42.2,0
wheat,black soil,germination,60,40,39.5,0
wheat,black soil,germination,61,41,36.8,0
wheat,black soil,germination,62,42,34.1,0
wheat,black soil,germination,63,43,31.4,0
